user_name,following,follower,n_likes
['travelblue.id'],0,369,2974
['maisondesgars'],20,15,797
['localbird.international'],9,11,257
['elliottontheroad'],16,1141,9235
['rebeccaadventuretravel'],72,467,6474
['lily.andrassy'],121,29,563
['olivestonefarmcottages'],0,177,638
['sustainably_rosalie'],396,24K,2.2M
['truecommunities'],17,21,182
['therailvoyage'],146,2015,80.8K
['welcometogambia'],814,3966,25.2K
['elliottontheroad'],16,1141,9235
['ormaguides'],22,225,6409
['elliottontheroad'],16,1141,9235
['chargeholidays'],170,186,7509
['iberostar'],0,69.9K,368.8K
['hostel.kimmell'],41,1139,7980
['worldpackers'],1169,213.4K,2.3M
['thelodgerrmr'],103,75,296
['frankchbtours'],305,631,7027
['wandersmiles'],406,1468,7792
['ecolodge.mucangchai'],7,1449,3178
['stanton_arlberg_official'],9,12.4K,231.2K
['ijazahmedkhan31'],0,908,3420
['albanianhighlands'],21,18,124
['veggiewayfarer'],166,3868,241.9K
['osgsocial'],1144,21.1K,160K
['iberostar'],0,69.9K,368.8K
['coolstays'],184,62.8K,794.9K
['mindo.travel'],235,3079,10.8K
['petitsbonheursdefilles'],13,47,4592
['4changemarketing'],34,173,3537
['suchipakariamazonlodge'],9160,10.4K,52.8K
['cwetravel'],1454,1360,21.2K
['timeouttravel'],17,5102,262.9K
['soso__swim'],212,44K,1.5M
['agriturismi'],0,490,1034
['chilled_keke'],9031,15.6K,43.5K
['bhubeing'],3,31,1049
['spheranetwork'],43,552,13.6K
['martagtavares'],100,905,13.3K
['unlockdiscovery'],46,48,1622
['outbackodyssey'],92,9381,331.5K
['that.travel'],673,1025,9499
['slojourn'],113,2599,47K
['2gocup'],2379,1336,19.6K
['ecoway.id'],124,659,5450
['iberostar'],0,69.9K,368.8K
['geraibarra_'],1946,1137,2748
['elliottontheroad'],16,1141,9235
['consciouslycerys'],74,180,1647
['jungleculture.eco'],412,17.8K,243.8K
['global_anago_adventures'],2693,1320,2818
['cityshuttleltd'],0,21.4K,219.9K
['habitat.renova'],78,552,3451
['foodgrowersunited'],89,449,1887
['travelout_now'],165,57,2316
['anyamizi'],396,9154,346.2K
['xiao.ignace.mauritius'],202,4138,11.7K
['inspirify.me'],44,911,31.8K
['wildaboutlapland'],18,432,4903
['geraibarra_'],1946,1137,2748
['akasha.retreats'],25,68,896
['realnewzealand'],88,1240,9359
